INDICATIVO,NATCODE,NAMEUNIT
1576A,34072424067,Encinedo
1648,34123232070,San Xoán de Río
1701U,34123232069,Ribadavia
1704O,34123232043,Maceda
1706,34123232001,Allariz
1726E,34123636049,Salceda de Caselas
1731,34123636023,A Guarda
2011,34074242215,Vinuesa
2017I,34074242141,La Póveda de Soria
2060,34074242008,Alcubilla de las Peñas
2079,34070909163,Hontoria del Pinar
2085,34074242043,Burgo de Osma-Ciudad de Osma
2087,34074242046,Calatañazor
2096,34074242105,Liceras
2113,34070909020,Arauzo de Miel
2114,34070909164,Hontoria de Valdearados
2121,34070909152,Gumiel de Mercado
2125,34074040170,Riaza
2139,34074040115,Maderuelo
2147B,34070909321,Roa
2170,34074747054,Cogeces del Monte
2215,34074747122,Portillo
2234,34073434056,Cervera de Pisuerga
2236,34073434056,Cervera de Pisuerga
2275,34073434037,Buenavista de Valdavia
2278,34073434901,Osorno la Mayor
2293A,34073434017,Astudillo
2304,34070909358,Santo Domingo de Silos
2319,34070909463,Villasur de Herreros
2320E,34070909463,Villasur de Herreros
2336I,34070909904,Valle de las Navas
2345,34070909009,Albillos
2362,34073434199,Velilla del Río Carrión
2363,34073434199,Velilla del Río Carrión
2366,34072424020,Boca de Huérgano
2369E,34073434129,Pino del Río
2370,34073434157,Saldaña
2409B,34074747186,Valladolid
2440,34070505019,Ávila
2450,34070505059,Cillán
2467,34074040152,Otero de Herreros
2479,34074040225,Villacastín
2516,34074747078,Lomoviejo
2519,34074747156,San Vicente del Palacio
2531E,34074747045,Castronuño
2532,34074747043,Castromonte
2533,34074747043,Castromonte
2552,34073737358,Villar de Gallimazo
2562,34074949147,Peleagonzalo
2568,34072424229,Villazanzo de Valderaduey
2623,34072424020,Boca de Huérgano
2624I,34072424060,Crémenes
2633,34072424021,Boñar
2650A,34072424134,La Robla
2667,34072424120,Prioro
2679U,34072424078,Gordoncillo
2689A,34072424145,San Emiliano
2706,34072424167,Soto y Amío
2708E,34072424158,Santa María de Ordás
2712E,34072424132,Riello
2721,34072424224,Villares de Órbigo
2834,34070505151,Navacepedilla de Corneja
2843,34073737200,Montejo
2856C,34070505136,Muñico
2879E,34073737314,Tabera de Abajo
2893,34073737366,Villarmuerto
2903,34073737268,La Rinconada de la Sierra
2917C,34073737260,Puebla de Yeltes
2943,34073737233,Pastores
2954,34073737356,Villar de Argañán
3009E,34024444174,Orihuela del Tremedal
3038,34081919045,Auñón
3064,34081616025,Arrancacepas
3082,34081919022,Almonacid de Zorita
3098A,34132828173,Villamanrique de Tajo
3099B,34084545121,Ocaña
3108E,34132828063,Gargantilla del Lozoya y Pinilla de Buitrago
3119,34132828059,Fuente el Saz de Jarama
3126I,34132828079,Madrid
3151I,34081919135,Hiendelaencina
3152B,34081919248,San Andrés del Congosto
3170,34132828005,Alcalá de Henares
3183,34132828144,Soto del Real
3183E,34132828144,Soto del Real
3193O,34132828080,Majadahonda
3209,34081919053,Brihuega
3216,34081919036,Aranzueque
3223,34132828111,Pezuela de las Torres
3256,34084545102,Mocejón
3274,34132828131,San Lorenzo de El Escorial
3291D,34084545133,Polán
3304,34084545194,Villarejo de Montalbán
3330Q,34132828031,Cadalso de los Vidrios
3363,34084545154,San Román de los Montes
3384,34111010083,Garvín
3403B,34070505066,Cuevas del Valle
3414,34084545110,Navalcán
3426E,34084545181,Velada
3429E,34111010180,Talayuela
3434,34111010131,Navalmoral de la Mata
3434U,34111010131,Navalmoral de la Mata
3437,34111010104,Jaraíz de la Vera
3441E,34111010182,Toril
3448,34111010175,Serradilla
3453,34111010029,Berzocana
3453E,34111010033,Cabañas del Castillo
3458,34111010125,Monroy
3464A,34111010113,Madroñera
3491D,34073737078,Candelario
3492E,34073737158,Herguijuela de la Sierra
3510,34111010127,Montehermoso
3514D,34111010107,Jerte
3514E,34111010035,Cabezuela del Valle
3518E,34111010148,Plasencia
3524,34111010189,Torrejoncillo
3531E,34111010185,Torrecilla de los Ángeles
3533,34111010084,Gata
3537,34111010128,Moraleja
3537E,34111010215,Villasbuenas de Gata
3575,34110606123,San Vicente de Alcántara
4007B,34080202057,Ossa de Montiel
4016,34081313019,Argamasilla de Alba
4017,34081313019,Argamasilla de Alba
4028,34081313043,Fuenllana
4032,34081313079,La Solana
4032A,34081313079,La Solana
4034,34081313054,Membrilla
4048O,34081616167,Pozorrubio de Santiago
4050,34084545135,La Puebla de Almoradiel
4051,34081616240,Vellisca
4061,34084545142,Quintanar de la Orden
4069A,34084545187,Villafranca de los Caballeros
4073,34081616019,Altarejos
4075,34081616269,Villares del Saz
4084,34081616102,Honrubia
4097,34081313078,Socuéllamos
4103,34081313082,Tomelloso
4112A,34081313096,Villarrubia de los Ojos
4114,34081313023,Bolaños de Calatrava
4123,34081313036,Los Cortijos
4124,34081313052,Malagón
4129,34081313040,Fernán Caballero
4137U,34081313093,Villanueva de los Infantes
4140,34081313084,Torre de Juan Abad
4142,34081313084,Torre de Juan Abad
4144,34081313085,Torrenueva
4147C,34081313087,Valdepeñas
4149A,34081313077,Santa Cruz de Mudela
4151,34081313098,Viso del Marqués
4193Y,34081313901,El Robledo
4202E,34081313063,Piedrabuena
4207,34081313015,Almodóvar del Campo
4238,34111010017,Alía
4250,34110606127,Talarrubias
4252,34110606033,Casas de Don Pedro
4296,34081313015,Almodóvar del Campo
4320,34110606028,Campanario
4328,34110606028,Campanario
4333U,34111010044,Cañamero
4335A,34111010044,Cañamero
4335M,34111010109,Logrosán
4336U,34111010219,Zorita
4339O,34110606102,Puebla de Alcocer
4358A,34110606044,Don Benito
4383,34110606019,Berlanga
4385I,34110606139,Valencia de las Torres
4392E,34110606069,Hornachos
4407,34110606083,Mérida
4415,34110606083,Mérida
4418,34110606083,Mérida
4423A,34110606038,Cordobilla de Lácara
4423P,34110606088,Montijo
4433A,34110606054,Fuente del Maestre
4437E,34110606015,Badajoz
4444B,34110606088,Montijo
4471C,34110606006,Alburquerque
4484,34110606143,Valverde de Leganés
4494A,34110606093,Oliva de la Frontera
4496,34110606140,Valencia del Mombuey
4499A,34110606085,Monesterio
4501F,34110606026,Calera de León
4505,34110606022,Burguillos del Cerro
4511,34110606070,Jerez de los Caballeros
4520,34110606050,Fregenal de la Sierra
5008I,34012323904,Santiago-Pontones
5056I,34011818146,Orce
5071E,34011818098,Huéscar
5094E,34011818085,Gor
2276B,34073434208,Villaeles de Valdavia
2290Y,34070909258,Pedrosa del Príncipe
2296A,34074242134,Ólvega
2298,34070909246,Palacios de la Sierra
2302N,34070909226,Monterrubio de la Demanda
2311Y,34070909443,Villamayor de los Montes
2331X,34070909059,Burgos
2362C,34073434199,Velilla del Río Carrión
2374X,34073434047,Carrión de los Condes
2400E,34073434018,Autilla del Pino
2422,34074747186,Valladolid
2430Y,34070505143,Muñotello
2444X,34070505019,Ávila
2453E,34070505087,Gotarrendura
2456B,34070505016,Arévalo
2462,34074040181,Real Sitio de San Ildefonso
2471Y,34074040076,El Espinar
2482B,34074040128,Migueláñez
2491C,34073737212,Navacarros
2503B,34074747104,Olmedo
2503X,34074747104,Olmedo
2512Y,34070505196,Rivilla de Barajas
2517A,34074747067,Fuente el Sol
2536D,34074949129,Morales de Toro
2555B,34074949081,Fuentesaúco
2568D,34073434169,Santervás de la Vega
2593D,34074747214,Villalón de Campos
2604B,34074747086,Medina de Rioseco
2611D,34074949242,Villafáfila
2614,34074949275,Zamora
2626Y,34072424063,Cubillas de Rueda
2630X,34072424121,Puebla de Lillo
2661B,34072424142,San Andrés del Rabanedo
2664B,34072424188,Valencia de Don Juan
2701D,34072424012,Los Barrios de Luna
2728B,34072424123,Quintana del Castillo
2734D,34072424008,Astorga
2737E,34072424185,Val de San Lorenzo
2742R,34072424026,Bustillo del Páramo
2755X,34074949021,Benavente
2766E,34074949179,Robleda-Cervantes
2777K,34074949206,Santibáñez de Vidriales
2789H,34074949164,Pozuelo de Tábara
2804F,34074949240,Villadepera
2811A,34070505165,Navarredonda de Gredos
2828Y,34070505021,El Barco de Ávila
2847X,34073737237,Pedrosillo de los Aires
2863C,34073737235,Pedraza de Alba
2870,34073737274,Salamanca
2873X,34073737040,Barbadillo
2882D,34074949149,Peñausende
2885K,34074949077,Fresno de Sayago
2891A,34073737364,Villarino de los Aires
2914C,34073737135,La Fuente de San Esteban
2916A,34073737376,Vitigudino
2918Y,34073737177,El Maíllo
2926B,34073737039,Bañobárez
2930Y,34073737221,Navasfrías
2945A,34073737054,El Bodón
2946X,34073737272,Saelices el Chico
2966D,34074949003,Alcañices
2978X,34123232085,Verín
3013,34081919190,Molina de Aragón
3021Y,34081919333,Zaorejas
3040Y,34081616035,Beteta
3044X,34081616053,Cañizares
3085Y,34081919212,Pastrana
3094B,34081616203,Tarancón
3099Y,34084545121,Ocaña
3100B,34132828013,Aranjuez
3103,34081919307,Valdesotos
3104Y,34132828120,Rascafría
3107A,34132828076,Lozoya
3111D,34132828143,Somosierra
3125Y,34132828134,San Sebastián de los Reyes
3126Y,34132828079,Madrid
3127A,34132828079,Madrid
3130C,34081919257,Sigüenza
3140Y,34081919168,Mandayona
3170Y,34132828005,Alcalá de Henares
3182Y,34132828014,Arganda del Rey
3191E,34132828045,Colmenar Viejo
3194Y,34132828115,Pozuelo de Alarcón
3195,34132828079,Madrid
3209Y,34081919053,Brihuega
3229Y,34132828146,Tielmes
3245Y,34084545166,Tembleque
3254Y,34084545106,Mora
3260B,34084545168,Toledo
3266A,34074040076,El Espinar
3268C,34132828010,Alpedrete
3298X,34084545153,San Pablo de los Montes
3298Y,34084545153,San Pablo de los Montes
3319D,34070505262,Villarejo del Valle
3330Y,34132828128,Rozas de Puerto Real
3337U,34070505057,Cebreros
3338,34132828125,Robledo de Chavela
3343Y,34132828160,Valdemorillo
3362Y,34084545043,Castillo de Bayuela
3365A,34084545165,Talavera de la Reina
3386A,34111010132,Navalvillar de Ibor
3391,34070505240,Sotillo de la Adrada
3422D,34070505047,Candeleda
3427Y,34084545125,Oropesa
3434X,34111010131,Navalmoral de la Mata
3436D,34111010079,Garganta la Olla
3448X,34111010175,Serradilla
3455X,34111010103,Jaraicejo
3463X,34111010195,Trujillo
3475X,34111010045,Cañaveral
3494U,34111010135,Nuñomoral
3503,34111010090,Guijo de Granadilla
3504X,34111010096,Hervás
3514B,34111010183,Tornavacas
3516X,34111010147,Piornal
3519X,34111010148,Plasencia
3526X,34111010067,Coria
3531X,34111010185,Torrecilla de los Ángeles
3536X,34111010100,Hoyos
3540X,34111010218,Zarza la Mayor
3547X,34111010205,Valverde del Fresno
3562X,34111010018,Aliseda
3565X,34111010032,Brozas
4007Y,34080202057,Ossa de Montiel
4051Y,34081616010,Alcázar del Rey
4061X,34084545142,Quintanar de la Orden
4064Y,34081313005,Alcázar de San Juan
4070Y,34081616001,Abia de la Obispalía
4075Y,34081616269,Villares del Saz
4089A,34081616007,La Alberca de Záncara
4090Y,34081616190,San Clemente
4091Y,34080202081,Villarrobledo
4093Y,34081616145,Osa de la Vega
4095Y,34081616033,Belmonte
4096Y,34080202053,Munera
4103X,34081313082,Tomelloso
4147X,34081313087,Valdepeñas
4148,34081313098,Viso del Marqués
4210Y,34081313001,Abenójar
4220X,34081313068,Puebla de Don Rodrigo
4236Y,34111010017,Alía
4244X,34110606063,Herrera del Duque
4245X,34111010087,Guadalupe
4260,34110606101,Peraleda del Zaucejo
4263X,34011414064,Valsequillo
4267X,34011414035,Hinojosa del Duque
4300Y,34081313011,Almadén
4325X,34110606036,Castuera
4340,34110606091,Navalvillar de Pela
4347X,34111010219,Zorita
4358X,34110606044,Don Benito
4386B,34110606074,Llerena
4395X,34110606149,Villafranca de los Barros
4410X,34110606083,Mérida
4411C,34111010010,Alcuéscar
4427X,34110606158,Zafra
4436Y,34110606011,Almendralejo
4464X,34110606006,Alburquerque
4478X,34110606015,Badajoz
4486X,34110606095,Olivenza
4489X,34110606007,Alconchel
4492E,34110606016,Barcarrota
4492F,34110606016,Barcarrota
4497X,34110606154,Villanueva del Fresno
4499X,34110606085,Monesterio
4501X,34110606052,Fuente de Cantos
4511C,34110606070,Jerez de los Caballeros
4520X,34110606050,Fregenal de la Sierra
4541X,34012121037,El Granado
4549Y,34012121010,Ayamonte
4554X,34012121021,Cartaya
4560Y,34012121001,Alájar
4575X,34012121072,Valverde del Camino
4584X,34012121023,El Cerro de Andévalo
4589X,34012121006,Alosno
4608X,34012121018,El Campillo
4622X,34012121077,Villarrasa
4642E,34012121041,Huelva
5038X,34012323028,Cazorla
5038Y,34012323028,Cazorla
5047E,34011818023,Baza
5051X,34011818098,Huéscar
5060X,34010404098,Vélez-Blanco
5161A,34012323001,Albanchez de Mágina
5164B,34012323009,Baeza
5165X,34012323090,Torres
5181D,34012323905,Arroyo del Ojanco
5210X,34012323097,Villanueva del Arzobispo
5246,34012323076,Santa Elena
2401X,34073434120,Palencia
2507Y,34074747139,Rueda
2624C,34072424130,Riaño
2775X,34074949262,Villardeciervos
2883R,34073737170,Ledesma
2969U,34123232034,A Gudiña
3110C,34132828027,Buitrago del Lozoya
3194U,34132828079,Madrid
3305Y,34084545109,Navahermosa
3423I,34111010111,Madrigal de la Vera
3512X,34111010127,Montehermoso
3576X,34111010203,Valencia de Alcántara
4067,34084545087,Madridejos
4138Y,34081313093,Villanueva de los Infantes
4339X,34111010044,Cañamero
4468X,34110606107,Puebla de Obando
4527X,34012121008,Aroche
5000C,34185151001,Ceuta
5192,34012323101,Villarrodrigo
5279X,34012323055,Linares
5406X,34012323002,Alcalá la Real
5612B,34014141082,La Roda de Andalucía
5769X,34012121016,Cala
5906X,34011111016,Chipiona
5995B,34011111039,Vejer de la Frontera
6058I,34012929051,Estepona
6088X,34012929901,Torremolinos
6205X,34012929091,Torrox
6302A,34010404001,Abla
7012C,34143030016,Cartagena
7127X,34143030012,Bullas
7227X,34143030008,Alhama de Murcia
8050X,34100303082,Jávea/Xàbia
8210Y,34081616189,Salvacañete
8337X,34104646248,Turís
8420U,34104646070,Bétera
8520X,34101212093,la Pobla de Benifassà
9073X,34160101051,Agurain/Salvatierra
9178X,34160101017,Campezo/Kanpezu
9262P,34153131172,Monreal/Elo
9302Y,34153131232,Tudela
9434P,34025050297,Zaragoza
9546B,34024444122,Híjar
9590D,34092525127,Lles de Cerdanya
9720X,34092525217,Tàrrega
9783B,34022222057,Bielsa
9924X,34022222112,Fraga
9994X,34092525059,Bossòst
B278,34040707040,Palma
B605X,34040707039,Muro
B852,34040707015,Ciutadella de Menorca
7066Y,34080202086,Yeste
0092X,34090808022,Berga
0222X,34090808033,Caldes de Montbui
0341X,34090808283,Tona
0411X,34091717047,Castelló d'Empúries
1021X,34162020067,Errenteria
1050J,34162020032,Elgoibar
1082,34164848903,Loiu
1159,34063939080,San Vicente de la Barquera
1212E,34033333016,Castrillón
1309C,34033333028,Ibias
1347T,34122727902,Burela
1410X,34121515080,Sobrado
1476R,34121515074,Rois
1549,34072424115,Ponferrada
1701X,34123232069,Ribadavia
2048A,34074242123,Morón de Almazán
2172Y,34074747157,Sardón de Duero
5270B,34012323050,Jaén
5281X,34012323010,Bailén
5298X,34012323005,Andújar
5304Y,34081313071,Puertollano
5341C,34081313042,Fuencaliente
5346X,34011414016,Cardeña
5361X,34011414043,Montoro
5390Y,34011414069,Villanueva de Córdoba
5394X,34011414021,Córdoba
5402,34011414021,Córdoba
5412X,34011414055,Priego de Córdoba
5422S,34012323003,Alcaudete
5427X,34011414022,Doña Mencía
5429X,34011414021,Córdoba
5459X,34011414026,Espiel
5470,34011414030,Fuente Palmera
5473X,34110606014,Azuaga
5515D,34011818189,Víznar
5515X,34011818087,Granada
5582A,34011818122,Loja
5598X,34011414010,Benamejí
5612X,34014141054,Lora de Estepa
5624X,34011414002,Aguilar de la Frontera
5625X,34011414057,La Rambla
5641X,34014141039,Écija
5654X,34014141078,La Puebla de los Infantes
5656,34014141042,Fuentes de Andalucía
5702X,34014141024,Carmona
5704B,34014141032,Cazalla de la Sierra
5726X,34014141048,Guadalcanal
5733X,34014141009,Almadén de la Plata
5771M,34012121069,Santa Olalla del Cala
5783,34014141091,Sevilla
5790Y,34014141091,Sevilla
5796,34014141011,Arahal
5835X,34014141025,Carrión de los Céspedes
5858X,34012121005,Almonte
5860E,34012121050,Moguer
5860H,34012121005,Almonte
5891X,34014141020,Las Cabezas de San Juan
5910X,34011111030,Rota
5911A,34011111019,Grazalema
5919X,34011111024,Olvera
5941X,34011111011,El Bosque
5950X,34011111902,San José del Valle
5960,34011111020,Jerez de la Frontera
5972X,34011111031,San Fernando
5973,34011111012,Cádiz
5983X,34011111023,Medina Sidonia
5996B,34011111007,Barbate
5998X,34014141068,Osuna
6001,34011111035,Tarifa
6032B,34012929084,Ronda
6032X,34012929084,Ronda
6040X,34012929046,Cortes de la Frontera
6042I,34011111021,Jimena de la Frontera
6045X,34012929014,Alpandeire
6050X,34012929056,Gaucín
6056X,34011111033,San Roque
6057X,34012929068,Manilva
6069X,34012929023,Benahavís
6076X,34012929069,Marbella
6083X,34012929069,Marbella
6084X,34012929054,Fuengirola
6100B,34012929015,Antequera
6106X,34012929015,Antequera
6127X,34012929012,Álora
6143X,34012929042,Coín
6156X,34012929067,Málaga
6172X,34012929067,Málaga
6175X,34012929082,Rincón de la Victoria
6199B,34012929094,Vélez-Málaga
6201X,34012929005,Algarrobo
6213X,34012929075,Nerja
6258X,34011818116,Lanjarón
6267X,34011818173,Salobreña
6272X,34011818093,Gualchos
6277B,34010404003,Adra
6281X,34011818183,Válor
6291B,34010404902,El Ejido
6293X,34010404902,El Ejido
6307X,34010404057,Láujar de Andarax
6329X,34010404066,Níjar
6332X,34010404032,Carboneras
6364X,34010404006,Albox
6367B,34010404053,Huércal-Overa
6375X,34012929055,Fuente de Piedra
7002Y,34143030003,Águilas
7007X,34143030026,Mazarrón
7023X,34143030021,Fuente Álamo de Murcia
7026X,34143030037,Torre-Pacheco
7031X,34143030035,San Javier
7072Y,34080202086,Yeste
7080X,34143030028,Moratalla
7096B,34080202037,Hellín
7103Y,34080202074,Tobarra
7119B,34143030015,Caravaca de la Cruz
7121A,34143030013,Calasparra
7138B,34143030022,Jumilla
7145D,34143030019,Cieza
7158X,34143030009,Archena
7172X,34143030029,Mula
7195X,34143030015,Caravaca de la Cruz
7203A,34143030024,Lorca
7209,34143030024,Lorca
7211B,34143030033,Puerto Lumbreras
7218X,34143030039,Totana
7237E,34143030027,Molina de Segura
7244X,34100303099,Orihuela
7247X,34100303105,el Pinós/Pinoso
7250C,34143030001,Abanilla
7261X,34100303113,Rojales
7275C,34143030043,Yecla
8008Y,34100303140,Villena
8013X,34100303093,Novelda
8018X,34100303065,Elche/Elx
8036Y,34100303031,Benidorm
8057C,34100303102,Pego
8058X,34104646181,Oliva
8058Y,34104646168,Miramar
8059C,34100303009,Alcoy/Alcoi
8072Y,34104646046,Barx
8155Y,34081616134,Motilla del Palancar
8178D,34080202003,Albacete
8191Y,34080202007,Alcalá del Júcar
8193E,34104646142,Jalance
8198Y,34080202009,Almansa
8203O,34104646263,Zarra
8245Y,34081616126,Mira
8270X,34104646071,Bicorp
8283X,34104646184,Ontinyent
8290X,34104646118,Enguera
8293X,34104646145,Xàtiva
8300X,34104646083,Carcaixent
8309X,34104646249,Utiel
8319X,34104646077,Buñol
8325X,34104646197,Polinyà de Xúquer
8354X,34024444009,Albarracín
8368U,34024444216,Teruel
8376,34024444127,Jabaloyas
8381X,34104646001,Ademuz
8395X,34104646106,Chelva
8409X,34104646147,Llíria
8414A,34104646159,Manises
8416X,34104646250,València
8416Y,34104646250,València
8439X,34101212104,Segorbe
8446Y,34104646220,Sagunto/Sagunt
8458X,34024444074,Cedrillas
8472A,34101212079,Montanejos
8486X,34024444160,Mosqueruela
8489X,34101212129,Vilafranca/Villafranca del Cid
8492X,34101212001,Atzeneta del Maestrat
8497B,34101212005,l'Alcora
8500A,34101212009,Almassora
8503Y,34101212117,Torreblanca
8506A,34101212132,Vilanova d'Alcolea
8523X,34101212138,Vinaròs
9001D,34063939027,Campoo de Enmedio
9001S,34063939032,Hermandad de Campoo de Suso
9012E,34070909012,Alfoz de Santa Gadea
9016X,34063939094,Valderredible
9019B,34063939094,Valderredible
9027X,34070909361,Sargentes de la Lora
9031C,34070909056,Briviesca
9051,34070909209,Medina de Pomar
9060X,34160101055,Valdegovía/Gaubea
9069C,34070909219,Miranda de Ebro
9111,34070909048,Belorado
9115X,34172626061,Ezcaray
9121X,34172626071,Haro
9122I,34160101028,Labastida/Bastida
9136X,34172626014,Anguiano
9141V,34172626102,Nájera
9145X,34160101034,Leza
9145Y,34172626046,Cenicero
9171K,34153131029,Los Arcos
9188,34172626058,Enciso
9198X,34022222078,Canfranc
9201K,34022222130,Jaca
9207,34022222901,Valle de Hecho
9208E,34022222032,Aragüés del Puerto
9211F,34022222044,Bailo
9218A,34153131128,Isaba/Izaba
9228J,34153131199,Oroz-Betelu/Orotz-Betelu
9228T,34153131211,Orreaga/Roncesvalles
9238X,34153131181,Navascués/Nabaskoze
9244X,34025050248,Sos del Rey Católico
9245X,34153131069,Cáseda
9252X,34153131191,Olite/Erriberri
9257X,34153131098,Esteribar
9263X,34153131023,Aranguren
9274X,34153131904,Irurtzun
9280B,34153131142,Larraga
9283X,34172626011,Alfaro
9283Y,34172626011,Alfaro
9287A,34074242165,San Pedro Manrique
9294E,34153153078,Bardenas Reales
9299X,34025050251,Tarazona
9301X,34153131173,Monteagudo
9321X,34025050095,Ejea de los Caballeros
9336D,34025050077,Castejón de Valdejasa
9344C,34074242025,Arcos de Jalón
9352A,34074242021,Almazul
9354X,34025050020,Alhama de Aragón
9374X,34024444209,Santa Eulalia
9377Y,34081919213,El Pedregal
9381I,34024444050,Calamocha
9394X,34025050067,Calatayud
9427X,34025050025,La Almunia de Doña Godina
9436X,34024444102,Fonfría
9443V,34025050297,Zaragoza
9446K,34022222204,Sallent de Gállego
9453X,34022222059,Biescas
9460X,34022222199,Sabiñánigo
9491X,34022222021,Almudévar
9495Y,34025050137,Leciñena
9501X,34025050275,Valmadrid
9510X,34025050222,Quinto
9513X,34024444161,Muniesa
9531Y,34024444155,Montalbán
9550C,34024444025,Andorra
9561X,34024444071,Castellote
9563X,34101212038,Castellfort
9569A,34024444051,Calanda
9573X,34024444013,Alcañiz
9574X,34025050074,Caspe
9576C,34025050022,La Almolda
9585,34091717006,Alp
9590,34092525127,Lles de Cerdanya
9619,34092525203,La Seu d'Urgell
9632X,34092525910,Josa i Tuixén
9638D,34092525077,Coll de Nargó
9647X,34092525223,Torà
9650X,34092525034,Artesa de Segre
9657X,34092525086,Esterri d'Àneu
9689X,34092525227,La Torre de Cabdella
9698U,34092525234,Tremp
9707,34092525128,Llimiana
9724X,34092525156,Os de Balaguer
9726E,34094343073,Llorac
9729X,34092525137,Mollerussa
9744B,34092525043,La Vall de Boí
9751,34022222223,Sopeira
9756X,34022222053,Benabarre
9771C,34092525120,Lleida
9772X,34092525169,La Pobla de Cérvoles
9775X,34092525206,El Soleràs
9784P,34022222057,Bielsa
9808X,34022222907,Aínsa-Sobrarbe
9814A,34022222230,Torla-Ordesa
9838B,34022222054,Benasque
9843A,34022222215,Seira
9855E,34022222080,Capella
9866C,34022222048,Barbastro
9894Y,34022222213,Sariñena
9898,34022222015,Alcalá del Obispo
9901X,34022222125,Huesca
9908X,34022222137,Lanaja
9911X,34022222046,Ballobar
9918Y,34022222225,Tamarite de Litera
9935X,34024444246,Valderrobres
9946X,34094343071,Horta de Sant Joan
9947X,34094343110,La Pobla de Massaluca
9961X,34094343035,Cabacés
9975X,34094343121,Rasquera
9981A,34094343133,Roquetes
9987P,34094343902,Sant Jaume d'Enveja
9988B,34092525025,Naut Aran
9990X,34092525025,Naut Aran
9995Y,34153131248,Luzaide/Valcarlos
9998X,34024444039,Bello
B013X,34040707019,Escorca
B087X,34040707007,Banyalbufar
B158X,34040707011,Calvià
B228,34040707040,Palma
B228D,34040707040,Palma
B236C,34040707040,Palma
B248,34040707010,Bunyola
B275C,34040707036,Marratxí
B278C,34040707040,Palma
B301,34040707031,Llucmajor
B334X,34040707031,Llucmajor
B346X,34040707043,Porreres
B362X,34040707013,Campos
B373X,34040707013,Campos
B410B,34040707057,Santanyí
B434X,34040707022,Felanitx
B496X,34040707062,Son Servera
B526X,34040707006,Artà
B569X,34040707014,Capdepera
B603X,34040707006,Artà
B614E,34040707033,Manacor
B644B,34040707060,Sineu
B656A,34040707056,Santa María del Camí
B662X,34040707008,Binissalem
B684A,34040707019,Escorca
B691Y,34040707044,Sa Pobla
B760X,34040707042,Pollença
B780X,34040707042,Pollença
B825B,34040707037,Es Mercadal
B860X,34040707015,Ciutadella de Menorca
B870C,34040707015,Ciutadella de Menorca
B908X,34040707050,Sant Joan de Labritja
B957,34040707026,Eivissa
B986,34040707024,Formentera
B044,34040707019,Escorca
B268,34040707056,Santa María del Camí
B613,34040707033,Manacor
B925,34040707046,Sant Antoni de Portmany
B964A,34040707054,Santa Eulària des Riu
1002X,34153131050,Baztan
1183J,34033333036,Llanes
1342,34122727051,Ribadeo
1347A,34122727066,Viveiro
1387D,34121515030,A Coruña
1446X,34122727032,Monterroso
1475A,34121515078,Santiago de Compostela
1700O,34123232019,O Carballiño
4404,34110606083,Mérida
6287A,34010404029,Berja
8177A,34080202029,Chinchilla de Monte-Aragón
9585A,34091717006,Alp
0002I,34094343162,Vandellòs i l'Hospitalet de l'Infant
0009X,34094343009,Alforja
0016A,34094343047,Constantí
0034X,34094343161,Valls
0042Y,34094343148,Tarragona
0061X,34090808168,Pontons
0066C,34090808305,Vilafranca del Penedès
0066X,34090808305,Vilafranca del Penedès
0073X,34090808270,Sitges
0076,34090808169,El Prat de Llobregat
0106X,34090808018,Balsareny
0114X,34090808171,Prats de Lluçanès
0120X,34090808138,Moià
0149X,34090808113,Manresa
0158X,34090808127,Monistrol de Montserrat
0171X,34090808102,Igualada
0189E,34090808279,Terrassa
0194D,34090808091,Gelida
0201D,34090808019,Barcelona
0201X,34090808019,Barcelona
0229I,34090808187,Sabadell
0244X,34090808214,Vilassar de Dalt
0252D,34090808006,Arenys de Mar
0255B,34090808261,Santa Susanna
0260X,34090808081,Fogars de Montclús
0281Y,34091717023,Blanes
0284X,34091717048,Castell-Platja d'Aro
0312X,34091717177,Sant Pau de Segúries
0320I,34091717134,Planoles
0324A,34091717147,Ripoll
0349,34090808220,Sant Julià de Vilatorta
0360X,34091717133,Les Planes d'Hostoles
0363X,34091717164,Sant Hilari Sacalm
0367,34091717233,Vilobí d'Onyar
0370E,34091717079,Girona
0372C,34091717137,Porqueres
0385X,34091717199,Torroella de Montgrí
0388U,34091717139,Les Preses
0394X,34091717208,La Vall de Bianya
0413A,34091717102,Maçanet de Cabrenys
0421X,34091717064,Espolla
0429X,34091717066,Figueres
0433D,34091717032,Cadaqués
1002Y,34153131050,Baztan
1010X,34153131250,Bera
1012P,34162020045,Irun
1025X,34162020019,Beasain
1026X,34162020076,Ordizia
1033X,34153131031,Areso
1036A,34162020079,Zarautz
1037X,34162020051,Legazpi
1037Y,34162020080,Zumarraga
1038X,34162020018,Azpeitia
1041A,34162020081,Zumaia
1044X,34160101003,Aramaio
1048X,34162020013,Aretxabaleta
1049N,34162020033,Elgeta
1052A,34162020056,Mutriku
1055B,34164848057,Lekeitio
1056K,34164848906,Forua
1057B,34164848017,Bermeo
1059X,34164848044,Getxo
1060X,34160101002,Amurrio
1064L,34164848075,Orozko
1069Y,34164848001,Abadiño
1074C,34164848003,Amorebieta-Etxano
1078C,34164848090,Balmaseda
1078I,34164848045,Güeñes
1083B,34164848086,Sopuerta
1083L,34063939020,Castro-Urdiales
1089U,34063939057,Ramales de la Victoria
1096X,34063939009,Bárcena de Cicero
1102D,34063939083,Soba
1109,34063939016,Camargo
